Tier,University,Program/Department,Application Open Date,Fall 2027 Application Deadline,Spring 2027 Admission,Fully Funded,Approx Annual Stipend,Health Insurance Included,Professor Name,Research Area / Ongoing Research,Representative Paper (Title; Year; Venue),Paper Link (Google Scholar),Approx Citation Count,Citation Source
Top tier,Carnegie Mellon University,School of Computer Science (incl. Machine Learning Dept.),Typically September,"Early Nov 18, 2026; Final Dec 9, 2026 (Fall 2027 posted)",No,Yes,"Full tuition + stipend, 5 yrs (amount not publicly specified; ~$40k+/yr typical)",Yes,Ruslan Salakhutdinov,"Deep learning, generative models, multimodal LLM agents",Dropout: A Simple Way to Prevent Neural Networks from Overfitting; 2014; JMLR,https://scholar.google.com/scholar?q=Dropout%3A+A+Simple+Way+to+Prevent+Neural+Networks+from+Overfitting,"~265,910 (total)",Google Scholar (point-in-time ~2025/26)
Top tier,Carnegie Mellon University,School of Computer Science,Typically September,"Early Nov 18, 2026; Final Dec 9, 2026",No,Yes,Full tuition + stipend,Yes,Zico Kolter,"ML + optimization, adversarial robustness, LLM safety, deep equilibrium models",Universal and Transferable Adversarial Attacks on Aligned Language Models; 2023; arXiv,https://scholar.google.com/scholar?q=Universal+and+Transferable+Adversarial+Attacks+on+Aligned+Language+Models,"~67,326 (total)",Google Scholar (~2025/26)
Top tier,Carnegie Mellon University,School of Computer Science,Typically September,"Early Nov 18, 2026; Final Dec 9, 2026",No,Yes,Full tuition + stipend,Yes,Graham Neubig,"NLP, machine translation, LLMs, code/agents",Neural Machine Translation and Sequence-to-sequence Models: A Tutorial; 2017; arXiv,https://scholar.google.com/scholar?q=Neural+Machine+Translation+and+Sequence-to-sequence+Models%3A+A+Tutorial,"~67,597 (total)",Google Scholar (~2025/26)
Top tier,Stanford University,Computer Science / SAIL,Typically September,~Early December 2026 (prior cycle early Dec),No,Yes,"Full tuition + stipend (third-party reports ~$3,500-4,500/mo; not officially confirmed)",Yes,Fei-Fei Li,"Computer vision, ImageNet, spatial/embodied AI",ImageNet: A Large-Scale Hierarchical Image Database; 2009; CVPR,https://scholar.google.com/scholar?q=ImageNet%3A+A+Large-Scale+Hierarchical+Image+Database,"~355,483 (total)",Google Scholar (~2025/26)
Top tier,Stanford University,Computer Science / SAIL,Typically September,~Early December 2026,No,Yes,Full tuition + stipend,Yes,Christopher Manning,"NLP, computational linguistics, deep learning for language",GloVe: Global Vectors for Word Representation; 2014; EMNLP,https://scholar.google.com/scholar?q=GloVe%3A+Global+Vectors+for+Word+Representation,"~328,455 (total)",Google Scholar (~2025/26)
Top tier,Stanford University,Computer Science / SAIL,Typically September,~Early December 2026,No,Yes,Full tuition + stipend,Yes,Percy Liang,"Foundation models, NLP, ML robustness, evaluation (HELM)",Holistic Evaluation of Language Models (HELM); 2022/23; TMLR,https://scholar.google.com/scholar?q=Holistic+Evaluation+of+Language+Models+%28HELM%29,"~149,815 (total)",Google Scholar (~2025/26)
Top tier,Massachusetts Institute of Technology,EECS / CSAIL,Typically September,"December 1, 2026",No,Yes,"$56,340/yr (PhD $4,695/mo AY25-26) + full tuition + insurance",Yes,Regina Barzilay,"NLP, ML for drug discovery and molecules, clinical AI",A Deep Learning Approach to Antibiotic Discovery; 2020; Cell,https://scholar.google.com/scholar?q=A+Deep+Learning+Approach+to+Antibiotic+Discovery,"~55,692 (total)",Google Scholar (~2025/26)
Top tier,Massachusetts Institute of Technology,EECS / CSAIL,Typically September,"December 1, 2026",No,Yes,"$56,340/yr + full tuition + insurance",Yes,Antonio Torralba,"Computer vision, scene understanding, vision+ML",Learning Deep Features for Discriminative Localization (CAM); 2016; CVPR,https://scholar.google.com/scholar?q=Learning+Deep+Features+for+Discriminative+Localization+%28CAM%29,"~171,176 (total)",Google Scholar (~2025/26)
Top tier,Massachusetts Institute of Technology,EECS / CSAIL,Typically September,"December 1, 2026",No,Yes,"$56,340/yr + full tuition + insurance",Yes,Pulkit Agrawal,"Robotics, reinforcement learning, embodied learning",Curiosity-driven Exploration by Self-supervised Prediction; 2017; ICML,https://scholar.google.com/scholar?q=Curiosity-driven+Exploration+by+Self-supervised+Prediction,"~17,900 (total)",Google Scholar (~2025/26)
Top tier,University of California Berkeley,EECS / BAIR,Typically September,~Mid-December 2026 (Fall only),No,Yes,Full tuition + livable stipend,Yes,Sergey Levine,"Deep RL, robotics, vision-language-action policies",End-to-End Training of Deep Visuomotor Policies; 2016; JMLR,https://scholar.google.com/scholar?q=End-to-End+Training+of+Deep+Visuomotor+Policies,"~253,606 (total)",Google Scholar (~2025/26)
